,link,matches
0,https://www.living-water.co.uk/blog/aluminium-drinking-water-increases-risk-dementia/,False
1,https://www.living-water.co.uk/blog/free-fizzy-water-fountains-installed-across-paris/,False
2,https://www.living-water.co.uk/blog/tap-water-versus-bottled-water/,False
3,https://www.living-water.co.uk/blog/safe-drink-tap-water/,False
4,https://www.living-water.co.uk/blog/the-benefits-of-drinking-mineral-water/,False
5,https://www.living-water.co.uk/blog/top-5-most-expensive-bottled-water-in-the-world/,False
6,https://www.living-water.co.uk/blog/what-are-the-statistics-of-the-global-water-crisis/,False
7,https://www.living-water.co.uk/blog/international-drinking-water-quality/,True
8,https://www.living-water.co.uk/blog/water-backbone-civilisation-future/,False
9,https://www.living-water.co.uk/blog/urban-water-systems-and-renewable-energy-production/,False
10,https://www.living-water.co.uk/blog/urban-water-systems-and-renewable-energy-production/,False
11,https://www.living-water.co.uk/blog/how-good-is-the-tap-water-in-london/,False
12,https://www.living-water.co.uk/blog/all-about-the-ph-of-drinking-water/,False
13,https://www.living-water.co.uk/blog/is-it-safe-to-drink-the-tap-water-in-milan/,False
14,https://www.living-water.co.uk/blog/safe-drink-tap-water-away-home-uk/,False
15,https://www.living-water.co.uk/blog/interesting-facts-about-the-water-in-london/,False
16,https://www.living-water.co.uk/blog/why-is-filtered-water-better-than-tap-water/,False
17,https://www.living-water.co.uk/blog/tap-water-quality-in-japan/,True
18,https://www.living-water.co.uk/blog/salient-facts-uk-tap-water/,False
19,https://www.living-water.co.uk/blog/i-hate-the-taste-of-water-how-can-i-make-sure-i-drink-more/,False
20,https://www.living-water.co.uk/blog/tap-water-versus-bottled-water/,False
21,https://www.living-water.co.uk/blog/tap-water-versus-bottled-water/,False
22,https://www.living-water.co.uk/blog/do-you-have-confidence-in-uk-tap-water/,False
23,https://www.living-water.co.uk/blog/what-health-hazards-do-toxins-in-tap-water-hold/,False
24,https://www.living-water.co.uk/blog/did-you-know-these-tap-water-facts/,False
25,https://www.living-water.co.uk/blog/making-your-own-distilled-water-at-home/,False
26,https://www.living-water.co.uk/blog/water-asthma-allergies/,False
27,https://www.living-water.co.uk/,False
28,https://www.living-water.co.uk/blog/what-is-the-difference-between-a-water-cooler-and-a-water-dispenser/,False
29,https://www.living-water.co.uk/blog/how-to-waste-less-water/,False
30,https://www.living-water.co.uk/blog/the-travellers-water-borne-condition-fear/,False
31,https://www.living-water.co.uk/blog/is-uk-tap-water-safe-to-drink/,False
32,https://www.living-water.co.uk/blog/know-tap-water-rights-public-uk/,False
33,https://www.living-water.co.uk/blog/different-types-of-drinking-water/,False
34,https://www.living-water.co.uk/blog/benefits-drinking-spring-water-2-2/,False
35,https://www.living-water.co.uk/blog/high-bacteria-levels-south-yorkshire-town-tap-water/,False
36,https://www.living-water.co.uk/blog/water-filter-or-water-cooler/,False
37,https://www.living-water.co.uk/blog/choose-best-water-filter-2/,False
38,https://www.living-water.co.uk/blog/how-can-a-water-filter-make-all-the-difference/,False
39,https://www.living-water.co.uk/blog/bottled-water-whats-the-appeal/,False
40,https://www.living-water.co.uk/blog/how-to-conserve-water-in-the-home/,False
41,https://www.living-water.co.uk/blog/how-to-choose-a-water-dispenser-supplier-for-your-water-at-work/,False
42,https://www.living-water.co.uk/blog/the-countries-with-the-cleanest-water-in-the-world/,False
43,https://www.living-water.co.uk/blog/wean-off-bottled-water/,False
44,https://www.living-water.co.uk/blog/is-lancashire-water-safe-to-drink-now/,False
45,https://www.living-water.co.uk/blog/how-can-getting-a-water-cooler-prevent-cancer/,False
46,https://www.living-water.co.uk/blog/are-you-taking-antidepressants/,False
47,https://www.living-water.co.uk/blog/lithium-drinking-water-good-bad/,False
48,https://www.living-water.co.uk/blog/london-water-cooler-comparisons/,False
49,https://www.living-water.co.uk/blog/difference-water-cooler-water-dispenser/,False
50,https://www.living-water.co.uk/blog/drink-water-for-osteoporosis/,False
51,https://www.living-water.co.uk/blog/fast-facts-regarding-drinking-water-london/,False
52,https://www.living-water.co.uk/blog/cleaning-your-bottled-water-cooler/,False
53,https://www.living-water.co.uk/blog/regulations-governing-bottled-drinking-water-in-the-uk/,False
54,https://www.living-water.co.uk/blog/environmental-benefits-using-water-coolers/,False
55,https://www.living-water.co.uk/blog/drinking-spring-water-healthy/,False
